major_id,program_code,name,category,description,source_url,verified_at
cntt,7480201,Công nghệ thông tin,cntt,Phát triển phần mềm và hệ thống thông tin,https://thongtinbieumaubgd.moet.gov.vn,2026-06-01
kysu,7520103,Kỹ thuật điều khiển và tự động hóa,kysu,Kỹ thuật tự động hóa và điều khiển,https://thongtinbieumaubgd.moet.gov.vn,2026-06-01
kinhte,7310101,Kinh tế,kinhte,Kinh tế học và chính sách kinh tế,https://thongtinbieumaubgd.moet.gov.vn,2026-06-01
marketing,7340115,Marketing,kinhte,Nghiên cứu thị trường và truyền thông thương hiệu,https://thongtinbieumaubgd.moet.gov.vn,2026-06-01
yte,7720101,Y khoa,yte,Đào tạo bác sĩ đa khoa,https://thongtinbieumaubgd.moet.gov.vn,2026-06-01
duoc,7720201,Dược,yte,Dược học và dược lý học,https://thongtinbieumaubgd.moet.gov.vn,2026-06-01
luat,7380101,Luật,luat,Luật học và hành chính công,https://thongtinbieumaubgd.moet.gov.vn,2026-06-01
